word,weight
aahh,-3.0
aamiin,2.0
ab,3.0
aba,2.0
aba-aba,-3.0
abadi,4.0
abah,3.0
abai,-3.0
abaikan,-2.0
abar-abar,-5.0
abg,-2.0
abi,2.0
abid,3.0
abis,-0.5
abnormalitas,-4.0
abolisi,-3.0
abon,-4.0
aborsi,-3.0
absen,-3.0
abses,-4.0
absorpsi,1.0
absurd,0.5
abu,0.5
abu-abu,-2.0
abuk,-3.0
abur,-5.0
acak,-5.0
acak-acakan,-5.0
acau,-4.0
aco-acoan,-5.0
acoan,-5.0
acu,-4.0
ada,0.5
adab,3.0
adakala,3.0
adang,-3.0
adaptasi,2.0
addict,-3.0
adegan,-4.0
adek,0.0
adi,2.0
adika,5.0
adiktif,-4.0
adil,0.5
adiluhung,3.0
adimarga,-4.0
administrator,3.0
adon,-4.0
adu,-3.0
aduh,-1.0
aduhai,4.0
aduk,-3.0
adzan,3.0
afair,3.0
afdal,3.0
afeksi,0.0
afiliasi,-1.0
afirmasi,3.0
agam,5.0
agama,-3.0
agar,-3.0
agen,-3.0
ahad,3.0
ahmak,-3.0
aib,-2.0
aiku,-5.0
ain,-5.0
air,-1.0
aja,1.0
ajak,1.0
ajakan,-1.0
ajal,-0.5
ajang,-3.0
ajar,-1.0
aji,0.5
ajojing,3.0
aju,-3.0
ajudan,4.0
ajuk,-5.0
akar,-0.5
akas,0.0
akhlak,4.0
akibat,-1.0
akidah,0.0
akik,-3.0
akil,4.0
akomodasi,3.0
akrab,3.0
akreditasi,-3.0
aksa,-4.0
akses,2.0
aksi,2.0
aksioma,-3.0
aktif,-0.5
aktivasi,2.0
aktual,4.0
aku,0.5
akuan,0.0
akumah,-3.0
akunya,-1.0
akut,-5.0
alah,-4.0
alahan,-3.0
alai-belai,-3.0
alaikum,2.0
alam,0.5
alami,-3.0
alamiah,-0.5
alangkah,1.0
alay,-4.0
album,0.5
albumnya,-2.0
alergi,-3.0
alhamdulilah,3.0
alhamdulillah,5.0
aliansi,-1.5
alim,2.0
alkisah,-4.0
alku,-5.0
allah,5.0
alobar,-4.0
alone,-3.0
alot,1.0
alpa,-3.0
alur,-4.0
amah,-5.0
amal,4.0
amalan,4.0
amanah,5.0
amandel,-5.0
amarah,-5.0
amat,4.0
amatin,-2.0
ambai,-5.0
ambalan,-4.0
ambau,-5.0
ambigu,-3.0
ambiguitas,-5.0
ambil,-5.0
ambilan,3.0
ambisi,4.0
amblas,-3.0
ambles,-4.0
ambruk,-5.0
